店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
トラの夢,3.54,299,9014,豚骨,大分県大分市森633-5,大分市,https://tabelog.com/oita/A4401/A440101/44003515/
ラーメン五九〇 別府鶴見店,3.13,27,172,豚骨,大分県別府市南立石1区5組3,別府市,https://tabelog.com/oita/A4402/A440202/44008099/
元祖辛麺屋 桝元 大分南店,3.03,31,421,醤油,大分県大分市大字光吉字池田1167,大分市,https://tabelog.com/oita/A4401/A440101/44009223/
味噌の達人 光吉店,3.08,16,98,味噌,大分県大分市宮崎832-1,大分市,https://tabelog.com/oita/A4401/A440101/44012700/
天龍軒,3.22,48,825,不明,大分県大分市都町3丁目6番6号ENDOﾋﾞﾙ111,大分市,https://tabelog.com/oita/A4401/A440101/44006159/
中華さと,3.43,90,2125,激辛,大分県日田市元町13-201F,日田市,https://tabelog.com/oita/A4404/A440403/44000407/
厳竜軒,3.17,22,358,豚骨,大分県大分市舞鶴町1-3-17,大分市,https://tabelog.com/oita/A4401/A440101/44001446/
鶏冠,3.27,66,1055,油そば・まぜそば,大分県大分市都町2-2-26opus miyako2 101,大分市,https://tabelog.com/oita/A4401/A440101/44008420/
天津,3.08,16,307,豚骨,大分県佐伯市大手町3-2-15,佐伯市,https://tabelog.com/oita/A4401/A440105/44001492/
十五万石 日出店,3.04,10,84,豚骨,大分県速見郡日出町川崎26-1,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44008340/
中華料理 祥瑞,3.07,11,106,豚骨,大分県宇佐市石田202-4,宇佐市,https://tabelog.com/oita/A4404/A440402/44011318/
求福軒,3.16,42,636,豚骨,大分県日田市南元町420-3,日田市,https://tabelog.com/oita/A4404/A440403/44001486/
大分ラーメン十八番 本店,3.21,34,447,魚介,大分県大分市原新町16-312,大分市,https://tabelog.com/oita/A4401/A440101/44013563/
ラーメンとん太 大道店,3.05,58,295,味噌,大分県大分市大道町1-2200-1,大分市,https://tabelog.com/oita/A4401/A440101/44006913/
なかつ宝来軒 別府店,3.26,67,916,豚骨,大分県別府市南的ヶ浜町5-19,別府市,https://tabelog.com/oita/A4402/A440202/44003710/
函館ラーメン藍,3.23,45,547,味噌,大分県大分市青崎2-121,大分市,https://tabelog.com/oita/A4401/A440101/44005319/
翔天食堂,3.12,32,500,豚骨,大分県中津市大貞371-49松喜第二ビル 1F,中津市,https://tabelog.com/oita/A4404/A440401/44010039/
竹田の中華そば こっとん,3.25,61,1452,中華そば,大分県竹田市入田石原19,竹田市,https://tabelog.com/oita/A4401/A440102/44006731/
しゅうちゃんラーメン,3.41,91,1790,豚骨,大分県中津市大字犬丸2107-2,中津市,https://tabelog.com/oita/A4404/A440401/44007697/
暘谷亭,3.25,31,365,豚骨,大分県速見郡日出町3480-1,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44008151/
まる中,3.22,47,725,つけ麺,大分県大分市毛井7-1,大分市,https://tabelog.com/oita/A4401/A440101/44010260/
京都しもがも担々麺 賢魂一滴,3.06,12,193,担々麺,大分県中津市豊田町11-10久保ビル 1F,中津市,https://tabelog.com/oita/A4404/A440401/44009499/
自家製麺めぬま,3.19,24,370,つけ麺,大分県大分市高城新町3-22キリムラビル,大分市,https://tabelog.com/oita/A4401/A440101/44013899/
田舎食改革第1弾 嗚呼 隼 本店,3.20,39,574,豚骨,大分県竹田市直入町大字長湯7952-3,竹田市,https://tabelog.com/oita/A4401/A440102/44000953/
ラーメン浅野 3号,3.34,74,860,二郎系,大分県大分市中央町1-4-22大分マート,大分市,https://tabelog.com/oita/A4401/A440101/44010339/
ラーメンとん太 南大分店,3.01,15,96,味噌,大分県大分市賀来北2-16-5,大分市,https://tabelog.com/oita/A4401/A440101/44003770/
らぁ麺 牛ごろ極,3.45,179,3991,味噌,大分県大分市中央町1-4-22大分マート,大分市,https://tabelog.com/oita/A4401/A440101/44007957/
